source file name , phase name , phase input files , phase output file , arch , tool, metric , unit
/home/ahendriksen/projects/raft-spdlog-issue/cpp/src/distance/distance/specializations/detail/l1_float_float_float_int.cu , gcc (preprocessing 1) , /home/ahendriksen/projects/raft-spdlog-issue/cpp/src/distance/distance/specializations/detail/l1_float_float_float_int.cu  , /tmp/tmpxft_00306fa0_00000000-7_l1_float_float_float_int.cpp1.ii , compute_70 , nvcc , 196.7850 , ms
/home/ahendriksen/projects/raft-spdlog-issue/cpp/src/distance/distance/specializations/detail/l1_float_float_float_int.cu , gcc (preprocessing 4) , /home/ahendriksen/projects/raft-spdlog-issue/cpp/src/distance/distance/specializations/detail/l1_float_float_float_int.cu  , /tmp/tmpxft_00306fa0_00000000-5_l1_float_float_float_int.cpp4.ii ,  , nvcc , 167.9720 , ms
/home/ahendriksen/projects/raft-spdlog-issue/cpp/src/distance/distance/specializations/detail/l1_float_float_float_int.cu , cicc , CMakeFiles/raft_distance_lib.dir/src/distance/distance/specializations/detail/l1_float_float_float_int.cu.o.d /tmp/tmpxft_00306fa0_00000000-7_l1_float_float_float_int.cpp1.ii  , /tmp/tmpxft_00306fa0_00000000-6_l1_float_float_float_int.ptx , compute_70 , nvcc , 2492.8889 , ms
/home/ahendriksen/projects/raft-spdlog-issue/cpp/src/distance/distance/specializations/detail/l1_float_float_float_int.cu , ptxas , /tmp/tmpxft_00306fa0_00000000-6_l1_float_float_float_int.ptx  , /tmp/tmpxft_00306fa0_00000000-8_l1_float_float_float_int.sm_70.cubin , sm_70 , nvcc , 792.5420 , ms
/home/ahendriksen/projects/raft-spdlog-issue/cpp/src/distance/distance/specializations/detail/l1_float_float_float_int.cu , fatbinary , /tmp/tmpxft_00306fa0_00000000-6_l1_float_float_float_int.ptx /tmp/tmpxft_00306fa0_00000000-8_l1_float_float_float_int.sm_70.cubin  , /tmp/tmpxft_00306fa0_00000000-3_l1_float_float_float_int.fatbin ,  , nvcc , 34.7810 , ms
/home/ahendriksen/projects/raft-spdlog-issue/cpp/src/distance/distance/specializations/detail/l1_float_float_float_int.cu , cudafe++ ,   /tmp/tmpxft_00306fa0_00000000-5_l1_float_float_float_int.cpp4.ii  , /tmp/tmpxft_00306fa0_00000000-6_l1_float_float_float_int.cudafe1.cpp , compute_70 , nvcc , 427.0700 , ms
/home/ahendriksen/projects/raft-spdlog-issue/cpp/src/distance/distance/specializations/detail/l1_float_float_float_int.cu , gcc (compiling) , /tmp/tmpxft_00306fa0_00000000-6_l1_float_float_float_int.cudafe1.cpp  , CMakeFiles/raft_distance_lib.dir/src/distance/distance/specializations/detail/l1_float_float_float_int.cu.o , compute_70 , nvcc , 646.8200 , ms
 , nvcc (driver) ,  , CMakeFiles/raft_distance_lib.dir/src/distance/distance/specializations/detail/l1_float_float_float_int.cu.o ,  , nvcc , 18.9209 , ms
