source file name , phase name , phase input files , phase output file , arch , tool, metric , unit
/home/ahendriksen/projects/raft-spdlog-issue/cpp/src/distance/distance/specializations/detail/l1_float_float_float_int.cu , gcc (preprocessing 1) , /home/ahendriksen/projects/raft-spdlog-issue/cpp/src/distance/distance/specializations/detail/l1_float_float_float_int.cu  , /tmp/tmpxft_002fcdb3_00000000-7_l1_float_float_float_int.cpp1.ii , compute_70 , nvcc , 198.1000 , ms
/home/ahendriksen/projects/raft-spdlog-issue/cpp/src/distance/distance/specializations/detail/l1_float_float_float_int.cu , gcc (preprocessing 4) , /home/ahendriksen/projects/raft-spdlog-issue/cpp/src/distance/distance/specializations/detail/l1_float_float_float_int.cu  , /tmp/tmpxft_002fcdb3_00000000-5_l1_float_float_float_int.cpp4.ii ,  , nvcc , 193.7260 , ms
/home/ahendriksen/projects/raft-spdlog-issue/cpp/src/distance/distance/specializations/detail/l1_float_float_float_int.cu , cicc , CMakeFiles/raft_distance_lib.dir/src/distance/distance/specializations/detail/l1_float_float_float_int.cu.o.d /tmp/tmpxft_002fcdb3_00000000-7_l1_float_float_float_int.cpp1.ii  , /tmp/tmpxft_002fcdb3_00000000-6_l1_float_float_float_int.ptx , compute_70 , nvcc , 2670.5161 , ms
/home/ahendriksen/projects/raft-spdlog-issue/cpp/src/distance/distance/specializations/detail/l1_float_float_float_int.cu , ptxas , /tmp/tmpxft_002fcdb3_00000000-6_l1_float_float_float_int.ptx  , /tmp/tmpxft_002fcdb3_00000000-8_l1_float_float_float_int.sm_70.cubin , sm_70 , nvcc , 759.4350 , ms
/home/ahendriksen/projects/raft-spdlog-issue/cpp/src/distance/distance/specializations/detail/l1_float_float_float_int.cu , fatbinary , /tmp/tmpxft_002fcdb3_00000000-6_l1_float_float_float_int.ptx /tmp/tmpxft_002fcdb3_00000000-8_l1_float_float_float_int.sm_70.cubin  , /tmp/tmpxft_002fcdb3_00000000-3_l1_float_float_float_int.fatbin ,  , nvcc , 17.2580 , ms
/home/ahendriksen/projects/raft-spdlog-issue/cpp/src/distance/distance/specializations/detail/l1_float_float_float_int.cu , cudafe++ ,   /tmp/tmpxft_002fcdb3_00000000-5_l1_float_float_float_int.cpp4.ii  , /tmp/tmpxft_002fcdb3_00000000-6_l1_float_float_float_int.cudafe1.cpp , compute_70 , nvcc , 635.3550 , ms
/home/ahendriksen/projects/raft-spdlog-issue/cpp/src/distance/distance/specializations/detail/l1_float_float_float_int.cu , gcc (compiling) , /tmp/tmpxft_002fcdb3_00000000-6_l1_float_float_float_int.cudafe1.cpp  , CMakeFiles/raft_distance_lib.dir/src/distance/distance/specializations/detail/l1_float_float_float_int.cu.o , compute_70 , nvcc , 1136.3260 , ms
 , nvcc (driver) ,  , CMakeFiles/raft_distance_lib.dir/src/distance/distance/specializations/detail/l1_float_float_float_int.cu.o ,  , nvcc , 22.9546 , ms
